"company","job_link","role","location","location_link","remote/on-site","compensation","link","quick_apply"
"Tendo","https://www.ziprecruiter.com/co/Tendo/Jobs?uuid=WLhgJ0jyfbMYfOL4mR1dPYtPm9M%3D&radius=25","Principal Data Engineer","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· Remote","$157.25K - $212.75K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/90fae4dd.png","Quick apply"
"Expedite Talent Solutions","https://www.ziprecruiter.com/co/Expedite-Talent-Solutions/Jobs?uuid=&radius=25","Data Analyst Expert","","","","","",""
"Biblioso Corporation","https://www.ziprecruiter.com/co/Biblioso-Corporation/Jobs?uuid=d4WVn%2BtNEL82W68rn0%2F1w4zjCrg%3D&radius=25","Senior Data & AI Lead - Future of Resilience Assurance","Seattle, WA","https://www.ziprecruiter.com/jobs-search?location=Seattle%2CWA&search=Data","· Remote","$166.40K - $187.20K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2f22f1b9.png","Quick apply"
"Influur","https://www.ziprecruiter.com/co/Influur/Jobs?uuid=6yNDZonSrnn3RCPsULpywb02bOc%3D&radius=25","AI Data Engineer","Mundelein, IL","https://www.ziprecruiter.com/jobs-search?location=Mundelein%2CIL&search=Data","· Remote","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0379377d.png","Quick apply"
"ICA.ai","https://www.ziprecruiter.com/co/ICA.ai/Jobs?uuid=&radius=25","Data Science/Machine Learning Engineer (Remote, Continental United States)","Arlington, VA","https://www.ziprecruiter.com/jobs-search?location=Arlington%2CVA&search=Data","· Remote","$117.20K - $140.70K/yr","","Quick apply"
"Silverthorne Advisory Group LLC","https://www.ziprecruiter.com/co/Silverthorne-Advisory-Group-LLC/Jobs/-in-Arlington,VA?uuid=&radius=25","Data Engineer (All Levels)","Arlington, VA","https://www.ziprecruiter.com/jobs-search?location=Arlington%2CVA&search=Data","· On-site +1","$130.80K - $157.10K/yr","","Quick apply"
"Fannie Mae","https://www.ziprecruiter.com/co/Fannie-Mae/Jobs/-in-Reston,VA?uuid=3X1tY6n1cwRrMq9uIm51HUdLcVQ%3D&radius=25","Enterprise Data- Software Engineering- Senior Associate","Reston, VA","https://www.ziprecruiter.com/jobs-search?location=Reston%2CVA&search=Data","· On-site +1","$135.20K - $173.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/11a81da1.png",""
"Kandu, Inc.","https://www.ziprecruiter.com/co/Kandu,-Inc./Jobs?uuid=&radius=25","Lead Data & Analytics Engineer","Los Angeles, CA","https://www.ziprecruiter.com/jobs-search?location=Los+Angeles%2CCA&search=Data","· Remote","$170K - $200K/yr","","Quick apply"
"The Rockridge Group","https://www.ziprecruiter.com/co/The-Rockridge-Group/Jobs?uuid=Y2lTRykqN9jatJcYq4mWpMqNBbU%3D&radius=25","Data Engineer","Emeryville, CA","https://www.ziprecruiter.com/jobs-search?location=Emeryville%2CCA&search=Data","· Remote","$132.40K - $159K/yr","","Quick apply"
"Prosper","https://www.ziprecruiter.com/co/Prosper/Jobs?uuid=xxd1TVCs%2FSCkpA1nOTWiwf1tcn8%3D&radius=25","Staff Software Engineer (Data Platforms)","Charleston, WV","https://www.ziprecruiter.com/jobs-search?location=Charleston%2CWV&search=Data","· Remote","$167K - $245K/yr","","Quick apply"
"Brooksource","https://www.ziprecruiter.com/co/Brooksource/Jobs?uuid=GepdnFwkDaRhG3r68c6aE2aL2vo%3D&radius=25","Data Syndication Analyst","Minneapolis, MN","https://www.ziprecruiter.com/jobs-search?location=Minneapolis%2CMN&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/33579039.png",""
"Aircall","https://www.ziprecruiter.com/co/Aircall/Jobs/-in-San-Francisco,CA?uuid=hD1zojL32mA2kaMSeBg4hqQ4J6k%3D&radius=25","Data Engineer, Data and Science","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· On-site +1","$134.90K - $162K/yr","","Quick apply"
"FortifyIQ","https://www.ziprecruiter.com/co/FortifyIQ/Jobs?uuid=qDPj4uZsM4hezShmmVrwtS3TkaE%3D&radius=25","Data & AI Engineer (Remote)","Salem, MA","https://www.ziprecruiter.com/jobs-search?location=Salem%2CMA&search=Data","· Remote","$125.10K - $150.20K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/d09774ea.png","Quick apply"
"James Dobson Family Institute","https://www.ziprecruiter.com/co/James-Dobson-Family-Institute/Jobs?uuid=&radius=25","Database Administrator/Analyst","Colorado Springs, CO","https://www.ziprecruiter.com/jobs-search?location=Colorado+Springs%2CCO&search=Data","· Remote","$70K - $90K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a19ef32a.jpeg","Quick apply"
"Aledade, Inc.","https://www.ziprecruiter.com/co/Aledade,-Inc./Jobs?uuid=cDx15Neu%2BUrIYpElX6UbqnkKrjw%3D&radius=25","Analyst, IMD Data Management","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/adbbbd94.png",""
"Brown Coker Realty","https://www.ziprecruiter.com/co/Brown-Coker-Realty/Jobs?uuid=&radius=25","DATA ENTRY CLERK","Hartsville, SC","https://www.ziprecruiter.com/jobs-search?location=Hartsville%2CSC&search=Data","· Remote","$18 - $25/hr","",""
"K2 Insurance Services, LLC","https://www.ziprecruiter.com/co/K2-Insurance-Services,-LLC/Jobs?uuid=YtQZ%2F1oEZIUQRzorRDjDDuZFLss%3D&radius=25","Senior Catastrophe Modeler - REMOTE","Corona, NY","https://www.ziprecruiter.com/jobs-search?location=Corona%2CNY&search=Data","· Remote","$98K - $120K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b04e2f65.png","Quick apply"
"T-Rex Solutions","https://www.ziprecruiter.com/co/T-Rex-Solutions/Jobs?uuid=vgZ0%2BGkWr%2B85HbpnYeSUgISZkF4%3D&radius=25","Data Architect","Washington, DC","https://www.ziprecruiter.com/jobs-search?location=Washington%2CDC&search=Data","· Remote","$125K - $175K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/04a9b57e.jpeg","Quick apply"
"iBusiness Funding","https://www.ziprecruiter.com/co/iBusiness-Funding/Jobs?uuid=7b%2BbObL4ZSq%2BLZAA04aLHFvUCqw%3D&radius=25","AI Knowledge Data Engineer","Fort Lauderdale, FL","https://www.ziprecruiter.com/jobs-search?location=Fort+Lauderdale%2CFL&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a65767c8.png","Quick apply"
"Vizient Southeast","https://www.ziprecruiter.com/co/Vizient-Southeast/Jobs?uuid=4btnhMwVG%2FySX4tLz6Rznlw81no%3D&radius=25","Business Intelligence Manager","Tampa, FL","https://www.ziprecruiter.com/jobs-search?location=Tampa%2CFL&search=Data","· Remote","$95K - $125K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/19919e1d.png","Quick apply"
"Dunhill Staffing Systems","https://www.ziprecruiter.com/co/Dunhill-Staffing-Systems/Jobs?uuid=PHMtaW54xhAH2CB5dqKkcO%2Fkgko%3D&radius=25","Data Entry Specialist","","","","$16 - $21.25/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/524983a8.png",""
"Yellow Dolphin LLC","https://www.ziprecruiter.com/co/Yellow-Dolphin-LLC/Jobs?uuid=&radius=25","Learning Analytics & Quality Lead","Austin, TX","https://www.ziprecruiter.com/jobs-search?location=Austin%2CTX&search=Data","· Remote","","","Quick apply"
"Blue Cross Blue Shield of Kansas","https://www.ziprecruiter.com/co/Blue-Cross-Blue-Shield-of-Kansas/Jobs/-in-Topeka,KS?uuid=&radius=25","Provider Data Quality Analyst","Topeka, KS","https://www.ziprecruiter.com/jobs-search?location=Topeka%2CKS&search=Data","· On-site +1","","",""
"Judge Group, Inc.","https://www.ziprecruiter.com/co/Judge-Group,-Inc./Jobs?uuid=fg4D51xh15R8HMxEsWOAuJL1D24%3D&radius=25","Data Engineer","Camden, NJ","https://www.ziprecruiter.com/jobs-search?location=Camden%2CNJ&search=Data","· Remote","$60 - $70/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c5ef1137.png",""
"MidWest Startup creating applications that allow consumers to take control of their data","https://www.ziprecruiter.com/co/MidWest-Startup-creating-applications-that-allow-consumers-to-take-control-of-their-data/Jobs?uuid=&radius=25","Senior Python Developer, Unique Niche Expanding Startup, Startup Exper","Kansas City, MO","https://www.ziprecruiter.com/jobs-search?location=Kansas+City%2CMO&search=Data","· Remote","$125K - $145K/yr","","Quick apply"
"NinjaOne","https://www.ziprecruiter.com/co/NinjaOne/Jobs?uuid=oA%2BrYUyhipZ3yQrIW64Iu2znpmQ%3D&radius=25","Data Engineer","","","","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3a31a13b.png","Quick apply"
"Wavicle Data Solutions","https://www.ziprecruiter.com/co/Wavicle-Data-Solutions/Jobs/-in-Oak-Brook,IL?uuid=DkoxZUFdUk1Ev1QcZJiW5GpDepU%3D&radius=25","Data Engineering Architect","Oak Brook, IL","https://www.ziprecruiter.com/jobs-search?location=Oak+Brook%2CIL&search=Data","· On-site +1","$64.25 - $82.75/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/16b37217.png","Quick apply"
"MyHR Partner, Inc","https://www.ziprecruiter.com/co/MyHR-Partner,-Inc/Jobs/-in-Austin,TX?uuid=7cRYxdkM9D3oSP8Sl2myUP5exVg%3D&radius=25","Data Platform Engineer","Austin, TX","https://www.ziprecruiter.com/jobs-search?location=Austin%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/7a337a18.png","Quick apply"
"COLOSSUS DATA CENTER ADVISORS LLC","https://www.ziprecruiter.com/co/COLOSSUS-DATA-CENTER-ADVISORS-LLC/Jobs?uuid=&radius=25","Data Center Advisory - Technical Associate/Manager","Bend, OR","https://www.ziprecruiter.com/jobs-search?location=Bend%2COR&search=Data","· Remote","$170.90K/yr","","Quick apply"
"Covenant Consulting","https://www.ziprecruiter.com/co/Covenant-Consulting/Jobs?uuid=HgN6U7XsO6Yd9zCGbqS5yOPJ4u4%3D&radius=25","Data Analyst","Concord, NC","https://www.ziprecruiter.com/jobs-search?location=Concord%2CNC&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/40d1b527.png",""
"Indiana University","https://www.ziprecruiter.com/co/Indiana-University/Jobs?uuid=L7ruPixLY8px4lHUVPLJJsY7fHk%3D&radius=25","Data Engineer","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/49a21226.png",""
"National Association of Insurance Commissioners (NAIC)","https://www.ziprecruiter.com/co/National-Association-of-Insurance-Commissioners-(NAIC)/Jobs?uuid=NzldyJAgMCoQuCSfLcUsY%2B4YC%2FM%3D&radius=25","Data Engineer","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/7b8dc5a4.png",""
"Kidde Global Solutions","https://www.ziprecruiter.com/co/Kidde-Global-Solutions/Jobs?uuid=&radius=25","Data & Analytics Engineer","","","","$117.20K - $140.70K/yr","",""
"E2 Optics","https://www.ziprecruiter.com/co/E2-Optics/Jobs?uuid=V20%2F%2BtV3RCOLczwMQpA%2FwJ90qJM%3D&radius=25","Hyperscale Data Center Estimator","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· Remote","$110K - $130K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c6675d68.jpeg",""
"Meta","https://www.ziprecruiter.com/co/Meta/Jobs/-in-Menlo-Park,CA?uuid=VNwJeJJwBLCQKYzkaAEktbJtV8U%3D&radius=25","Data Engineer, Product Analytics","Menlo Park, CA","https://www.ziprecruiter.com/jobs-search?location=Menlo+Park%2CCA&search=Data","· On-site +1","$147K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/e98494bb.png",""
"Infotek Consulting Services Inc.","https://www.ziprecruiter.com/co/Infotek-Consulting-Services-Inc./Jobs?uuid=&radius=25","Business Analyst (Data & Power BI)","Chicago, IL","https://www.ziprecruiter.com/jobs-search?location=Chicago%2CIL&search=Data","· Remote","","",""
"UICGS and Bowhead Family of Companies","https://www.ziprecruiter.com/co/UICGS-and-Bowhead-Family-of-Companies/Jobs?uuid=&radius=25","Data Engineer with Security Clearance","Mobile, AL","https://www.ziprecruiter.com/jobs-search?location=Mobile%2CAL&search=Data","· Remote","$113.60K - $136.40K/yr","",""
"IDR, Inc.","https://www.ziprecruiter.com/co/IDR,-Inc./Jobs?uuid=RZiFQFIonSD7wwv3kOc6FIgjBXM%3D&radius=25","Clinical Data Engineer","Manhattan, NY","https://www.ziprecruiter.com/jobs-search?location=Manhattan%2CNY&search=Data","· Remote","$126.20K - $151.60K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/15e8f711.png",""
"WEX","https://www.ziprecruiter.com/co/WEX/Jobs?uuid=xvV71WZ%2B2Iu%2FwUQ2KRdCdCzq26A%3D&radius=25","Staff Software Engineer - Semantic Data Lake","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b5795721.png",""
"Axelon Services Corporation","https://www.ziprecruiter.com/co/Axelon-Services-Corporation/Jobs/-in-Oakland,CA?uuid=AHlIMrVdVbX%2F3kTdbmWLCbNtjXU%3D&radius=25","Data Analyst","Oakland, CA","https://www.ziprecruiter.com/jobs-search?location=Oakland%2CCA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b8abf44d.png",""
"Inizio Partners","https://www.ziprecruiter.com/co/Inizio-Partners/Jobs/-in-Warren,NJ?uuid=&radius=25","Azure Data Engineer","Warren, NJ","https://www.ziprecruiter.com/jobs-search?location=Warren%2CNJ&search=Data","· On-site +1","$118.30K - $142.10K/yr","",""
"Jazz Pharmaceuticals","https://www.ziprecruiter.com/co/Jazz-Pharmaceuticals/Jobs?uuid=qyLyVbFit%2F9FiaNhTvuWpozvZj8%3D&radius=25","Senior Manager, REMS Data Programmer","Palo Alto, CA","https://www.ziprecruiter.com/jobs-search?location=Palo+Alto%2CCA&search=Data","· Remote","$136K - $204K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/621ebb5b.png",""
"Federal Home Loan Bank of Topeka","https://www.ziprecruiter.com/co/Federal-Home-Loan-Bank-of-Topeka/Jobs/-in-Topeka,KS?uuid=af%2FyGWqvKbbZRW%2FQ3q2xc9uZKJE%3D&radius=25","Data Architect","Topeka, KS","https://www.ziprecruiter.com/jobs-search?location=Topeka%2CKS&search=Data","· On-site +1","$60 - $77.25/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2e0c6c7c.png",""
"Wondr Health","https://www.ziprecruiter.com/co/Wondr-Health/Jobs/-in-Dallas,TX?uuid=FDXSthe11%2FuKAat9OSAl%2BxZBoy8%3D&radius=25","Data Engineer","Dallas, TX","https://www.ziprecruiter.com/jobs-search?location=Dallas%2CTX&search=Data","· On-site +1","$100K - $120K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/84d61e95.png",""
"Bering Straits Native Corporation","https://www.ziprecruiter.com/co/Bering-Straits-Native-Corporation/Jobs/-in-Dayton,OH?uuid=6p3Qd23ipgnj4BO7FRdnY4IXW4Q%3D&radius=25","DMS MRO Data Engineer","Dayton, OH","https://www.ziprecruiter.com/jobs-search?location=Dayton%2COH&search=Data","· On-site +1","$125K - $150K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0e254e5e.png",""
"Cotiviti, Inc.","https://www.ziprecruiter.com/co/Cotiviti,-Inc./Jobs?uuid=yC9YHNcoJ2iIm5cjZy3BwjdEK7I%3D&radius=25","Senior Generative AI Scientist II (Model Risk & Validation)","Palo Alto, CA","https://www.ziprecruiter.com/jobs-search?location=Palo+Alto%2CCA&search=Data","· Remote","$145K - $170K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/13e1e686.jpeg",""
"Atlas Technologies Inc","https://www.ziprecruiter.com/co/Atlas-Technologies-Inc/Jobs?uuid=v4%2FotffCNsz4FpVTrO0%2FvyqkMoY%3D&radius=25","Cloud Data Analyst","Alexandria, VA","https://www.ziprecruiter.com/jobs-search?location=Alexandria%2CVA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c6a6dff3.png",""
