"company","job_link","role","location","location_link","remote/on-site","compensation","link","quick_apply"
"Soleo Health Inc","https://www.ziprecruiter.com/co/Soleo-Health-Inc/Jobs/-in-Frisco,TX?uuid=dOSTzi01ENbU5p9jfp2EU%2F3PJBk%3D&radius=25","Commercial Sales Data Analyst","Frisco, TX","https://www.ziprecruiter.com/jobs-search?location=Frisco%2CTX&search=Data","· On-site +1","$65K - $85K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/668e1094.jpeg","Quick apply"
"André Global, Inc.","https://www.ziprecruiter.com/co/Andr%C3%A9-Global,-Inc./Jobs?uuid=&radius=25","Sr. Data Analyst with Guidewire- Remote","","","","$88K - $111.10K/yr","",""
"TalentBurst, Inc.","https://www.ziprecruiter.com/co/TalentBurst,-Inc./Jobs?uuid=7GgBoES%2FSJrkFiTyR3JewzwvzP8%3D&radius=25","AI & Data Project Manager (Data Governance)","Fairfax, VA","https://www.ziprecruiter.com/jobs-search?location=Fairfax%2CVA&search=Data","· Remote","$53 - $71.50/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/35aa611f.jpg","Quick apply"
"Lorven Technologies","https://www.ziprecruiter.com/co/Lorven-Technologies/Jobs?uuid=gj0Nyvsu3iBrpjZ%2BO0iQrw8IHhg%3D&radius=25","Data Engineer (IC3) (Strong SQL)","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/4918ae53.png",""
"VAST Data","https://www.ziprecruiter.com/co/VAST-Data/Jobs/-in-Manhattan,NY?uuid=QUIN6SFW12U2Ilm%2Bp4UCzATCSw8%3D&radius=25","Senior Product Data Analyst","Manhattan, NY","https://www.ziprecruiter.com/jobs-search?location=Manhattan%2CNY&search=Data","· On-site +1","$94.70K - $119.40K/yr","",""
"MatchPoint Solutions","https://www.ziprecruiter.com/co/MatchPoint-Solutions/Jobs/-in-Houston,TX?uuid=eQwPUnogMo5E51o%2FoniO6pw2mOw%3D&radius=25","Azure Data Lake Engineer","Houston, TX","https://www.ziprecruiter.com/jobs-search?location=Houston%2CTX&search=Data","· On-site +1","$80 - $82/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b93a3cdc.png",""
"DeepHealth","https://www.ziprecruiter.com/co/DeepHealth/Jobs/-in-Somerville,MA?uuid=c1bYjy2B7uzf%2Fzs%2BQEdHgBn7RFg%3D&radius=25","Data Migration Engineer","Somerville, MA","https://www.ziprecruiter.com/jobs-search?location=Somerville%2CMA&search=Data","· On-site +1","$100 - $120/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/9facfe0d.png",""
"Texas State Library and Archives Commision","https://www.ziprecruiter.com/co/Texas-State-Library-and-Archives-Commision/Jobs?uuid=&radius=25","Data Engineer","","","","$117.20K - $140.70K/yr","",""
"Sarian, Inc.","https://www.ziprecruiter.com/co/Sarian,-Inc./Jobs?uuid=&radius=25","Sr. Data Lakehouse Engineer","","","","$117.20K - $140.70K/yr","",""
"campus4tech","https://www.ziprecruiter.com/co/campus4tech/Jobs?uuid=&radius=25","Data Engineer - Databricks & Snowflake","","","","$117.20K - $140.70K/yr","",""
"Merican","https://www.ziprecruiter.com/co/Merican/Jobs?uuid=bhn%2BO%2BqnQmJjKUkPrYbuOWIXMvU%3D&radius=25","Data Engineer","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2b072b0c.png",""
"Futran Tech Solutions Pvt. Ltd.","https://www.ziprecruiter.com/co/Futran-Tech-Solutions-Pvt.-Ltd./Jobs?uuid=&radius=25","Sr Data Engineer","","","","$117.20K - $140.70K/yr","",""
"De Circle","https://www.ziprecruiter.com/co/De-Circle/Jobs/-in-San-Francisco,CA?uuid=&radius=25","Data & BI Engineer - Odos","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· On-site +1","$134.90K - $162K/yr","",""
"Takeda Pharmaceutical","https://www.ziprecruiter.com/co/Takeda-Pharmaceutical/Jobs/-in-Cambridge,MA?uuid=sE4z87I1NtMGuPOv1taw5WDwlo4%3D&radius=25","Senior Data Scientist","Cambridge, MA","https://www.ziprecruiter.com/jobs-search?location=Cambridge%2CMA&search=Data","· On-site +1","$162K - $260K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/8d047c64.png",""
"Exact Sciences","https://www.ziprecruiter.com/co/Exact-Sciences/Jobs?uuid=rMju8zeZ3skGpa8KIEhDDqHh6l0%3D&radius=25","Staff Data Engineer - Science","","","","$117.20K - $140.70K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c036be99.png",""
"Arrow Electronics, Inc.","https://www.ziprecruiter.com/co/Arrow-Electronics,-Inc./Jobs?uuid=g0s2BV8GgugpWqoDZlE%2FVYIHZQc%3D&radius=25","Data/ AI Practice Leader","Salisbury, MD","https://www.ziprecruiter.com/jobs-search?location=Salisbury%2CMD&search=Data","· Remote","$151.50K - $225.51K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3b8eb718.png",""
"Arrow Electronics, Inc.","https://www.ziprecruiter.com/co/Arrow-Electronics,-Inc./Jobs?uuid=5U%2FzGXp9Yof8xnZypPu2Bx0dXSs%3D&radius=25","Data/ AI Practice Leader","UT","https://www.ziprecruiter.com/jobs-search?location=Utah&search=Data","· Remote","$151.50K - $225.51K/yr","",""
"CyberCoders","https://www.ziprecruiter.com/co/CyberCoders/Jobs/-in-Raleigh,NC?uuid=Ymyjl2wqZuAT2DYHpLp50Ji1PAM%3D&radius=25","Head of Data Science / AI","Raleigh, NC","https://www.ziprecruiter.com/jobs-search?location=Raleigh%2CNC&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ff92e438.png","Quick apply"
"Crown Innovations, Inc.","https://www.ziprecruiter.com/co/Crown-Innovations,-Inc./Jobs?uuid=&radius=25","Energy Data Analyst","","","","$46K - $50K/yr","",""
"Cherokee Federal","https://www.ziprecruiter.com/co/Cherokee-Federal/Jobs?uuid=%2BPjSV97gbmYymQAOhCu7b0tYYv8%3D&radius=25","Lead Sr Analyst/Research Specialist","Independence, KS","https://www.ziprecruiter.com/jobs-search?location=Independence%2CKS&search=Data","· Remote","$95K - $110K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c2668434.png",""
"NORTHEAST KINGDOM HUMAN SERVICES INC","https://www.ziprecruiter.com/co/NORTHEAST-KINGDOM-HUMAN-SERVICES-INC/Jobs/-in-Newport,VT?uuid=XQSq7FMNfz8hKDPSIqdjfkmA2Ks%3D&radius=25","INFORMATION SYSTEM DATA ANALYST","Newport, VT","https://www.ziprecruiter.com/jobs-search?location=Newport%2CVT&search=Data","· On-site +1","$24.96 - $33.78/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/4237f737.png",""
"State of Washington","https://www.ziprecruiter.com/co/State-of-Washington/Jobs/-in-Olympia,WA?uuid=j03od5MdmXjWMHRsehv5L4TRxcM%3D&radius=25","Data Analyst (TPS 4)","Olympia, WA","https://www.ziprecruiter.com/jobs-search?location=Olympia%2CWA&search=Data","· On-site +1","$78.91K - $106.10K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/56ea0ef3.png",""
"Knopf Investigations","https://www.ziprecruiter.com/co/Knopf-Investigations/Jobs?uuid=jXEQZKqsvQXX%2BpLKYfRcbS38fBo%3D&radius=25","Data Entry Clerk","Melbourne, FL","https://www.ziprecruiter.com/jobs-search?location=Melbourne%2CFL&search=Data","· Remote","$18 - $27/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/682afedd.png","Quick apply"
"CFS","https://www.ziprecruiter.com/co/CFS/Jobs/-in-Bedford-Hills,NY?uuid=K6RXZUByCe0h7pD%2B4Cn4X3eE0k8%3D&radius=25","D365","Bedford Hills, NY","https://www.ziprecruiter.com/jobs-search?location=Bedford+Hills%2CNY&search=Data","· On-site +1","$75K - $85K/yr","",""
"Berkshire Hathaway Homestate Companies","https://www.ziprecruiter.com/co/Berkshire-Hathaway-Homestate-Companies/Jobs/-in-Sacramento,CA?uuid=V4N6vpFXxfgf7%2BT%2F4CFBBrbNJsk%3D&radius=25","Background & Data Intelligence Analyst","Sacramento, CA","https://www.ziprecruiter.com/jobs-search?location=Sacramento%2CCA&search=Data","· On-site +1","$61.72K - $75.26K/yr","",""
"ELM Utility Services","https://www.ziprecruiter.com/co/ELM-Utility-Services/Jobs/-in-Missoula,MT?uuid=HfMxCT3RXdkuUgyurksCv3MZ7Uc%3D&radius=25","Data Analyst - Missoula, Montana $55,000-$75,000/DOE","Missoula, MT","https://www.ziprecruiter.com/jobs-search?location=Missoula%2CMT&search=Data","· On-site +1","$55K - $75K/yr","",""
"Texas Health and Human Services Commission","https://www.ziprecruiter.com/co/Texas-Health-and-Human-Services-Commission/Jobs/-in-Plainview,TX?uuid=ZZOO1DfIWvKNZaVnx9NhgvYSDxE%3D&radius=25","Data Analyst IV - Advanced Analytics & Reporting - 100% remote","Plainview, TX","https://www.ziprecruiter.com/jobs-search?location=Plainview%2CTX&search=Data","· On-site +1","$5.43K - $7.16K/mo","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/e0b827a4.png",""
"New York State","https://www.ziprecruiter.com/co/New-York-State/Jobs/-in-Albany,NY?uuid=giE2em59z74XzoF%2FbeMQaz0hbfA%3D&radius=25","Data Analyst 1 (SG-18), Data Analyst Trainee 2 (SG-16), Data Analyst 1 (SG-18) Item# 00777","Albany, NY","https://www.ziprecruiter.com/jobs-search?location=Albany%2CNY&search=Data","· On-site +1","$53.76K - $85.14K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/30d00cd8.png",""
"Dynamic Business Intelligence Resources","https://www.ziprecruiter.com/co/Dynamic-Business-Intelligence-Resources/Jobs?uuid=&radius=25","Data Analyst","San Antonio, TX","https://www.ziprecruiter.com/jobs-search?location=San+Antonio%2CTX&search=Data","· Remote","$70K - $75K/yr","","Quick apply"
"Recidiviz","https://www.ziprecruiter.com/co/Recidiviz/Jobs/-in-New-York,NY?uuid=tlLv%2FJbbkjoTxrlQgmrwFov6b5Q%3D&radius=25","Policy Data Analyst","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· On-site +1","$97K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/0edce95e.png",""
"Ivanti","https://www.ziprecruiter.com/co/Ivanti/Jobs/-in-South-Jordan,UT?uuid=AXk7Yxq0rqOcWxB3mi3XeWSObSU%3D&radius=25","Entry Level Data Analyst","South Jordan, UT","https://www.ziprecruiter.com/jobs-search?location=South+Jordan%2CUT&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5be2e27c.png",""
"Everest Search Partners","https://www.ziprecruiter.com/co/Everest-Search-Partners/Jobs?uuid=&radius=25","Data Load Analyst - Finance","Plano, TX","https://www.ziprecruiter.com/jobs-search?location=Plano%2CTX&search=Data","· Remote","","",""
"Compass Group","https://www.ziprecruiter.com/co/Compass-Group/Jobs/-in-Charlotte,NC?uuid=e3l8lslqh2geJb2ARL79jey57cE%3D&radius=25","Data & Analytics Analyst","Charlotte, NC","https://www.ziprecruiter.com/jobs-search?location=Charlotte%2CNC&search=Data","· On-site +1","","",""
"Insight Global","https://www.ziprecruiter.com/co/Insight-Global/Jobs?uuid=oAEMW6MMo0qOgm0s2UNbvMxuPhc%3D&radius=25","Tableau Analyst","Denver, CO","https://www.ziprecruiter.com/jobs-search?location=Denver%2CCO&search=Data","· Remote","$75K - $90K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/4d6aef15.jpeg","Quick apply"
"Savista","https://www.ziprecruiter.com/co/Savista/Jobs?uuid=OM2K3q4GG7cbeLvaLSyVmMPb9ao%3D&radius=25","Manager, Data Analyst (Applicants must be legally authorized to work in the United States. The co...","","","","$83K - $90K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/43d4d726.png",""
"Liaison International","https://www.ziprecruiter.com/co/Liaison-International/Jobs?uuid=73EuPEw2t8sKgOfvCrrqZG0ETMg%3D&radius=25","Data Analyst/Curator","","","","$70K - $88K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ffdb8b3a.png",""
"Revel IT","https://www.ziprecruiter.com/co/Revel-IT/Jobs/-in-Columbus,OH?uuid=eZwUeqI9iA9%2FTG6Vei5dZEkT%2BXs%3D&radius=25","Channel Operations/Data Analyst - remote | 1053196","Columbus, OH","https://www.ziprecruiter.com/jobs-search?location=Columbus%2COH&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/322acd97.png","Quick apply"
"American Heart Association","https://www.ziprecruiter.com/co/American-Heart-Association/Jobs/-in-Dallas,TX?uuid=vrT0o7K%2BGMhZeSV%2FLgFqBN%2Fsbk8%3D&radius=25","Data Science Analyst","Dallas, TX","https://www.ziprecruiter.com/jobs-search?location=Dallas%2CTX&search=Data","· On-site +1","$85K - $95K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/72c9f5af.png",""
"Digital Infuzion","https://www.ziprecruiter.com/co/Digital-Infuzion/Jobs/-in-Rockville,MD?uuid=DZFfQoiARXJ%2FU1yKcfhGntJ5I9s%3D&radius=25","Data Quality Analyst (Translational Research)","Rockville, MD","https://www.ziprecruiter.com/jobs-search?location=Rockville%2CMD&search=Data","· On-site +1","$65K - $80K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/77f75afc.png",""
"General Motors","https://www.ziprecruiter.com/co/General-Motors/Jobs/-in-Warren,MI?uuid=vpT8%2Fh5oVMYB0kGVwFlvP%2B%2Fc8hY%3D&radius=25","Vehicle Safety Data Analyst","Warren, MI","https://www.ziprecruiter.com/jobs-search?location=Warren%2CMI&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/b412fffe.png",""
"C2Q Health Solutions","https://www.ziprecruiter.com/co/C2Q-Health-Solutions/Jobs?uuid=&radius=25","SHARED SERVICES DATA QUALITY ANALYST","","","","$45K - $50K/yr","",""
"Office of the Indiana Attorney General","https://www.ziprecruiter.com/co/Office-of-the-Indiana-Attorney-General/Jobs/-in-Indianapolis,IN?uuid=re2przhRZS%2FejKfHDo0TEVz6wGU%3D&radius=25","Tobacco Data Analyst","Indianapolis, IN","https://www.ziprecruiter.com/jobs-search?location=Indianapolis%2CIN&search=Data","· On-site +1","$51.07K - $79.16K/yr","",""
"Wonder Works Construction Corp.","https://www.ziprecruiter.com/co/Wonder-Works-Construction-Corp./Jobs/-in-Albuquerque,NM?uuid=xHsObVE8jWfD25AEFwoeQGnEvgo%3D&radius=25","Professional Data Entry Keyer","Albuquerque, NM","https://www.ziprecruiter.com/jobs-search?location=Albuquerque%2CNM&search=Data","· On-site +1","$20 - $30/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ec0be74f.png",""
"Unacast","https://www.ziprecruiter.com/co/Unacast/Jobs?uuid=2IhvSRn6AlH16LD%2B1D%2BXyqcAApU%3D&radius=25","Data Delivery Analyst","Ashburn, VA","https://www.ziprecruiter.com/jobs-search?location=Ashburn%2CVA&search=Data","· Remote","$80K - $100K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/585b0249.png",""
"R1","https://www.ziprecruiter.com/co/R1/Jobs?uuid=YdR9n9xmkkpyD50ImvA7wNCNIwI%3D&radius=25","Senior Clinical Data Operations Analyst III","","","","$70.92K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/5948b6cb.png",""
"Growth Ortho","https://www.ziprecruiter.com/co/Growth-Ortho/Jobs?uuid=MkSdUC0rFrpvdpngNt56YE5QQvY%3D&radius=25","Data Analyst","Lexington, KY","https://www.ziprecruiter.com/jobs-search?location=Lexington%2CKY&search=Data","· Remote","","","Quick apply"
"Molina Healthcare","https://www.ziprecruiter.com/co/Molina-Healthcare/Jobs?uuid=fugUeMqjMiayINaqs3kKshqx1E4%3D&radius=25","Data Analyst - Remote in CA","Sacramento, CA","https://www.ziprecruiter.com/jobs-search?location=Sacramento%2CCA&search=Data","· Remote","$73.01K - $111.97K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/8307232f.png",""
"ADF Medical Services Inc.","https://www.ziprecruiter.com/co/ADF-Medical-Services-Inc./Jobs?uuid=&radius=25","Data Entry Clerk","Westlake, OH","https://www.ziprecruiter.com/jobs-search?location=Westlake%2COH&search=Data","· Remote","$17.50 - $23.25/hr","","Quick apply"
"S&P Global, Inc.","https://www.ziprecruiter.com/co/S&P-Global,-Inc./Jobs/-in-New-York,NY?uuid=oH1jlNaNNzQ9thVpXHbWR6bHUDs%3D&radius=25","Data Analyst, Compliance","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· On-site +1","$85K - $100K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/1f1183cf.png",""
"YipitData (Alternative)","https://www.ziprecruiter.com/co/YipitData-(Alternative)/Jobs/--in-OR?uuid=oiogn%2FEPDtPl7sswG3t9djsCE9s%3D&radius=25","Data Validation Analyst","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c0fcd2d6.png",""
"CareFirst","https://www.ziprecruiter.com/co/CareFirst/Jobs?uuid=nNCutv2tdRCsBe45hfxk05Kr6EU%3D&radius=25","Lead Data Analyst (Remote)","Baltimore, MD","https://www.ziprecruiter.com/jobs-search?location=Baltimore%2CMD&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/c9fffd57.png",""
"American Airlines","https://www.ziprecruiter.com/co/American-Airlines/Jobs/-in-Fort-Worth,TX?uuid=XV%2F76QuBErTmRR%2Bnawhd4tdeF7k%3D&radius=25","Analyst/Sr Analyst, Procurement Data and Analytics","Fort Worth, TX","https://www.ziprecruiter.com/jobs-search?location=Fort+Worth%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/72b01a04.png",""
"Jobs for Humanity","https://www.ziprecruiter.com/co/Jobs-for-Humanity/Jobs?uuid=&radius=25","Data Analyst","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· Remote","$55 - $60/hr","",""
"Rocky Mountain College of Art + Design","https://www.ziprecruiter.com/co/Rocky-Mountain-College-of-Art-+-Design/Jobs?uuid=6WCPJqwfVXV9cp0ZuMNjS7mz6lc%3D&radius=25","Data Analyst","","","","$75K - $80K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/aa95afbd.png",""
"Tax Alchemy","https://www.ziprecruiter.com/co/Tax-Alchemy/Jobs?uuid=&radius=25","Tax Data Entry Specialist (Seasonal)","Irvine, CA","https://www.ziprecruiter.com/jobs-search?location=Irvine%2CCA&search=Data","· Remote","","","Quick apply"
"Madhive","https://www.ziprecruiter.com/co/Madhive/Jobs?uuid=Of%2BnGqJEYUXd8KaymJHL8yyUf04%3D&radius=25","Data Analyst, Revenue Analytics","New York, NY","https://www.ziprecruiter.com/jobs-search?location=New+York%2CNY&search=Data","· Remote","$75K - $89K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a6d8882a.png","Quick apply"
"UnitedHealth Group","https://www.ziprecruiter.com/co/UnitedHealth-Group/Jobs?uuid=l9Nnl0OmJzljTo%2F%2BhcKoe%2FuchQw%3D&radius=25","Data Analyst - Cybersecurity","Eden Prairie, MN","https://www.ziprecruiter.com/jobs-search?location=Eden+Prairie%2CMN&search=Data","· Remote","$72.80K - $130K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3634a7da.jpeg",""
"GAN","https://www.ziprecruiter.com/co/GAN/Jobs/-in-Las-Vegas,NV?uuid=b8iuZiSH7%2B2dYNSQMecXkPJ7Cnk%3D&radius=25","Data Analyst","Las Vegas, NV","https://www.ziprecruiter.com/jobs-search?location=Las+Vegas%2CNV&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/f2803cf1.png",""
"Brex","https://www.ziprecruiter.com/co/Brex/Jobs/-in-San-Francisco,CA?uuid=YOUWBtqCbaq%2BUZq4vfyUg4ZRrYI%3D&radius=25","Data Analyst III","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· On-site +1","$114.19K - $142.74K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/2bf75650.png",""
"Risk Strategies","https://www.ziprecruiter.com/co/Risk-Strategies/Jobs?uuid=beGddZSahdZ8mJjmcWuTmdxbfzY%3D&radius=25","Analyst Consultant - Data, Reporting, and Analytics","","","","$51.80K - $85K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/ae37a04a.png",""
"Qode","https://www.ziprecruiter.com/co/Qode/Jobs/-in-Basking-Ridge,NJ?uuid=&radius=25","Data Analyst","Basking Ridge, NJ","https://www.ziprecruiter.com/jobs-search?location=Basking+Ridge%2CNJ&search=Data","· On-site +1","","",""
"Govcio LLC","https://www.ziprecruiter.com/co/Govcio-LLC/Jobs?uuid=U6nT%2BP5Y7zpTb%2BCz7XzC024DKso%3D&radius=25","SME Data Analyst (Remote)","","","","$110K - $130K/yr","",""
"Rush Street Interactive","https://www.ziprecruiter.com/co/Rush-Street-Interactive/Jobs?uuid=xS90gfpP1Nn8fLmtKk55JNNXNzc%3D&radius=25","Casino Data Analyst","OR","https://www.ziprecruiter.com/jobs-search?location=Oregon&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/63edf785.png",""
"Mercy","https://www.ziprecruiter.com/co/Mercy/Jobs?uuid=b8WwW6qJvlKC8f0p411otUk6EWk%3D&radius=25","Oncology Data Specialist - Remote - Fort Smith","","","","$17.50 - $23.25/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/6470a63e.png",""
"Brown & Brown, Inc.","https://www.ziprecruiter.com/co/Brown-&-Brown,-Inc./Jobs?uuid=DKlJPn2TQ7MZ1y58LV15Q3DUNH0%3D&radius=25","EDI/Data Senior Specialist","","","","$30 - $32/hr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/e76f0d7a.png",""
"Umusic","https://www.ziprecruiter.com/co/Umusic/Jobs/-in-Nashville,TN?uuid=&radius=25","Streaming Fraud Data Research & Analyst","Nashville, TN","https://www.ziprecruiter.com/jobs-search?location=Nashville%2CTN&search=Data","· On-site +1","$61.91K - $118.25K/yr","",""
"Maxar","https://www.ziprecruiter.com/co/Maxar/Jobs/-in-Houston,TX?uuid=&radius=25","Sr Data Analytics and Automation Analyst","Houston, TX","https://www.ziprecruiter.com/jobs-search?location=Houston%2CTX&search=Data","· On-site +1","$76K - $126K/yr","",""
"VSP Vision","https://www.ziprecruiter.com/co/VSP-Vision/Jobs?uuid=DiklW5fYLBkMYJCaZ%2Bc0P48YGK4%3D&radius=25","Principal Data Analyst - Geospatial Intelligence","","","","$84K - $141.75K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/6a88d2f0.png",""
"ALENOTECH SOLUTIONS LLC","https://www.ziprecruiter.com/co/ALENOTECH-SOLUTIONS-LLC/Jobs?uuid=&radius=25","Data Analyst","San Diego, CA","https://www.ziprecruiter.com/jobs-search?location=San+Diego%2CCA&search=Data","· Remote","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/eb3bc72c.jpeg","Quick apply"
"Mayo Clinic","https://www.ziprecruiter.com/co/Mayo-Clinic/Jobs?uuid=HQj9bummYiSWP7lqW0UcxdNW2ZE%3D&radius=25","Data Science Analyst","","","","$100.34K - $140.46K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/1d92fa89.png",""
"Zillow","https://www.ziprecruiter.com/co/Zillow/Jobs?uuid=OX%2Fe2YNKfnn3gKLH4tLONMAcT%2FY%3D&radius=25","Data Analyst, Employee Service Center","","","","$83.20K - $132.80K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/7b37c41f.png",""
"AbsoluteCare","https://www.ziprecruiter.com/co/AbsoluteCare/Jobs/-in-Baltimore,MD?uuid=9lGg3Oqh%2BfSrRLTzShC6SGii86A%3D&radius=25","Data Analyst - 2803","Baltimore, MD","https://www.ziprecruiter.com/jobs-search?location=Baltimore%2CMD&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/a6fb57db.png",""
"Doximity","https://www.ziprecruiter.com/co/Doximity/Jobs/-in-San-Francisco,CA?uuid=qpkcgZDTP7IMTZ4OUF1vro0V5Eo%3D&radius=25","Data Analyst","San Francisco, CA","https://www.ziprecruiter.com/jobs-search?location=San+Francisco%2CCA&search=Data","· On-site +1","$110K - $150K/yr","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/3bd9d77a.png",""
"Datafied","https://www.ziprecruiter.com/co/Datafied/Jobs/-in-Anaheim,CA?uuid=NZQ9EC%2BJ93Hc0dcVDmA%2BljdQddg%3D&radius=25","Junior Data Analyst","Anaheim, CA","https://www.ziprecruiter.com/jobs-search?location=Anaheim%2CCA&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/cd7337f0.png",""
"Alliance","https://www.ziprecruiter.com/co/Alliance/Jobs/-in-Morrisville,NC?uuid=klp1P%2BjiSHlkDwH8UolDn%2B0%2FISY%3D&radius=25","Data Analyst - QM (Full Time, Remote, North Carolina Based)","Morrisville, NC","https://www.ziprecruiter.com/jobs-search?location=Morrisville%2CNC&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/16375805.png",""
"Texas State Government","https://www.ziprecruiter.com/co/Texas-State-Government/Jobs/-in-Austin,TX?uuid=HMfoELvCmcD9L073GtQHlttfzCs%3D&radius=25","OCA - TIDC Data Analyst III","Austin, TX","https://www.ziprecruiter.com/jobs-search?location=Austin%2CTX&search=Data","· On-site +1","","https://www.ziprecruiter.com/svc/fotomat/public-nosensitive-ziprecruiter-logos/company/44cb1fe7.png",""
