"product-link href","media-image__image src","product-link","money-amount__main","price-current__discount-percentage","money-amount__main 2"
"https://www.zara.com/us/en/leather-chelsea-boots-p12000720.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","LEATHER CHELSEA BOOTS","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/leather-chelsea-boots-p12014620.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","LEATHER CHELSEA BOOTS","$ 99.90","-40%","$ 59.94"
"https://www.zara.com/us/en/relaxed-fit-cargo-pants-p00108310.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RELAXED FIT CARGO PANTS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/recco--waterproof-ski-shell-jacket-p03286403.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RECCO® WATERPROOF SHELL SKI TECHNICAL JACKET","$ 249.00","-32%","$ 169.00"
"https://www.zara.com/us/en/recco--waterproof-ski-shell-jacket-p03286403.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","RECCO® WATERPROOF SKI SHELL JACKET","$ 249.00","-32%","$ 169.00"
"https://www.zara.com/us/en/contrast-sole-sneakers-p12289620.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","CONTRAST SOLE SNEAKERS","$ 69.90","-40%","$ 41.94"
"https://www.zara.com/us/en/dress-chelsea-boots-p12004620.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","DRESS CHELSEA BOOTS","$ 89.90","-40%","$ 53.94"
"https://www.zara.com/us/en/wide-fit-technical-jogger-pants-p01437361.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","TECHNICAL WIDE FIT JOGGER PANTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/flowy-belted-pants-p07484255.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","FLOWY BELTED PANTS","$ 79.90","-40%","$ 47.94"
"https://www.zara.com/us/en/washed-straight-fit-pants-p03286405.html","https://static.zara.net/stdstatic/8.6.2/images/transparent-background.png","WASHED STRAIGHT FIT PANTS","$ 69.90","-40%","$ 41.94"
