"media href","img-fit src","media","img-fit src 2","media 2","img-fit src 3","media 3","img-fit src 4","media 4","img-fit src 5","media 5","img-fit src 6","media 6","media 7","img-fit src 16","card-link","product-card-brand-line","status-label","price__current","product-label","product-label 2","visually-hidden 2","btn","btn href","price__was"
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-horsethief-carbon-frame-29-27-5-carbon-charcoal-raw-x-large","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20648'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM2495_dba3a294-df82-4169-ade4-43e8adc9a61a.jpg?v=1763528439&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""648""
           alt=""Salsa Horsethief Carbon Frame - 29&quot;/27.5&quot; Carbon Charcoal/Raw X-Large"">","","","","","","","","","","","","","Salsa Horsethief Carbon Frame - 29""/27.5"" Carbon Charcoal/Raw X-Large","Salsa","At Warehouse","$3,299.00","","Ships Ready to Ride*","Add to cart","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-horsethief-carbon-frame-29-27-5-carbon-charcoal-raw-x-large",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-timberjack-frame-29-27-5-aluminum-black-small","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20750'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM6986.jpg?v=1763527652&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""750""
           alt=""Salsa Timberjack Frame - 29/27.5&quot; Aluminum Black Small"">","","","","","","","","","","","","","Salsa Timberjack Frame - 29/27.5"" Aluminum Black Small","Salsa","At Warehouse","$699.00","","Ships Ready to Ride*","Add to cart","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-timberjack-frame-29-27-5-aluminum-black-small",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-karate-monkey-frameset-27-5-steel-snow-mold-white","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20656'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM3036.jpg?v=1763527504&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""656""
           alt=""Surly Karate Monkey Frameset - 27.5&quot; Steel Snow Mold White X-Small"">","","","","","","","","","","","","","Surly Karate Monkey Frameset - 27.5"", Steel, Snow Mold White","Surly","At Warehouse","$999.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-karate-monkey-frameset-27-5-steel-snow-mold-white",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-lowside-frameset-27-5-steel-dream-tangerine","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20664'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM0987.jpg?v=1763527470&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""664""
           alt=""Surly Lowside Frameset - 27.5&quot; Steel Dream Tangerine X-Small"">","","","","","","","","","","","","","Surly Lowside Frameset - 27.5"", Steel, Dream Tangerine","Surly","At Warehouse","$899.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-lowside-frameset-27-5-steel-dream-tangerine",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-wednesday-fat-bike-frameset-26-steel-og-algae","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20660'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM3430.jpg?v=1763526293&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""660""
           alt=""Surly Wednesday Fat Bike Frameset - 26&quot; Steel OG Algae X-Small"">","","","","","","","","","","","","","Surly Wednesday Fat Bike Frameset - 26"", Steel, OG Algae","Surly","At Warehouse","From
$799.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-wednesday-fat-bike-frameset-26-steel-og-algae",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-timberjack-xt-bike-27-5-aluminum-copper","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20624'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/BK7482.jpg?v=1763523047&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""624""
           alt=""Salsa Timberjack XT Bike - 27.5&quot; Aluminum Copper X-Small"">","","","","","","","","","","","","","Salsa Timberjack XT Bike - 27.5"", Aluminum, Copper","Salsa","At Warehouse","$2,499.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-timberjack-xt-bike-27-5-aluminum-copper",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-karate-monkey-frameset-27-5-steel-peach-salmon-sundae","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20660'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM1535.jpg?v=1763521934&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""660""
           alt=""Surly Karate Monkey Frameset - 27.5&quot; Steel Peach Salmon Sundae X-Small"">","","","","","","","","","","","","","Surly Karate Monkey Frameset - 27.5"", Steel, Peach Salmon Sundae","Surly","At Warehouse","$999.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/surly-karate-monkey-frameset-27-5-steel-peach-salmon-sundae",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-blackthorn-145-c-frame-carbon-black-smoke","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20520'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM0395.jpg?v=1763521321&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""520""
           alt=""Salsa Blackthorn 145 C Frame - Carbon Black / Smoke Small"">","","","","","","","","","","","","","Salsa Blackthorn 145 C Frame - Carbon, Black / Smoke","Salsa","At Warehouse","$3,199.00","","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-blackthorn-145-c-frame-carbon-black-smoke",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-cassidy-frame-aluminum-brushed-x-large","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20599'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/FM9414.jpg?v=1763513066&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""599""
           alt=""Salsa Cassidy Frame - Aluminum Brushed X-Large"">","","","","","","","","","","","","","Salsa Cassidy Frame - Aluminum Brushed X-Large","Salsa","At Warehouse","$2,649.00","","","Add to cart","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/salsa-cassidy-frame-aluminum-brushed-x-large",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/2026-stumpjumper-15-s-works-di2","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20783'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/93326-00_SJ-15-SW-DI2-DLMMET-SMKLQDMET_HERO_DARK-PDP.jpg?v=1762254543&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Dolomite Metallic / Smoked Liquid Metal S1"">","https://www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","https://www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","https://www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","https://www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","https://www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","<img src=""//www.bikemart.com/cdn/shop/files/93326-01_SJ-15-SW-DI2-SLDMET-REDSKY-BRSHCP_HERO_DARK-PDP.jpg?v=1762254544&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 S-Works Di2 Bike Gloss Solidity Metallic / Bordeaux Metallic / Brushed Chrome S1"">","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20783'%3E%3C/svg%3E","2026 Stumpjumper 15 S-Works Di2","Specialized","At Warehouse","$11,299.99","","Sold out","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/2026-stumpjumper-15-s-works-di2",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/2026-specialized-stumpjumper-15-ohlins-coil-bike-satin-copper-speckle-satin-silver-dust-s5","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201125.0%20783'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/93325-75_SJ-15-OHLINS-COILCOP-SILDST_HERO-PDP_8651e774-6222-4f2d-9a69-ad3c0c2eb08b.jpg?v=1762264474&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1125.0""
           height=""783""
           alt=""2026 Specialized Stumpjumper 15 Ohlins Coil Bike Satin Copper Speckle / Satin Silver Dust S5"">","","","","","","","","","","","","","2026 Specialized Stumpjumper 15 Ohlins Coil Bike Satin Copper Speckle / Satin Silver Dust S5","Specialized","At Warehouse","$7,999.99","","Sold out","Add to cart","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/2026-specialized-stumpjumper-15-ohlins-coil-bike-satin-copper-speckle-satin-silver-dust-s5",""
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/chisel","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201500.0%20836'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/specialized-chisel-iv-781278-1.png?v=1761060648&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1500.0""
           height=""836""
           alt="""">","","","","","","","","","","","","","Chisel","Specialized","At Warehouse","$1,999.99","Up to 23% off","Sold out","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/chisel","$2,599.99"
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/stumpjumper-15-expert","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201500.0%20844'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/specialized-stumpjumper-15-expert-iv-790333-1.png?v=1761060634&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1500.0""
           height=""844""
           alt="""">","","","","","","","","","","","","","Stumpjumper 15 Expert","Specialized","In stock","$4,999.99","17% off","","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/stumpjumper-15-expert","$5,999.99"
"https://www.bikemart.com/collections/bikes-mountain-bikes/products/5010-c-gx-axs","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201500.0%20849'%3E%3C/svg%3E","<img src=""//www.bikemart.com/cdn/shop/files/santa-cruz-5010-c-gx-axs-567932-11.png?v=1761060579&width=460""
           loading=""lazy""
           class=""img-fit img-fit--contain card__main-image"" width=""1500.0""
           height=""849""
           alt="""">","","","","","","","","","","","","","5010 C GX AXS","Santa Cruz","In stock","$4,499.98","35% off","Ships Ready to Ride*","Choose options","View details","https://www.bikemart.com/collections/bikes-mountain-bikes/products/5010-c-gx-axs","$6,899.00"
