"product-card__link-overlay","product-card__link-overlay href","product-card__hero-image src","colorway href","colorway href 2","product-card__subtitle","product-card__product-count","product-price","product-price 2","product-price__perc","product-card__messaging"
"Villanova","https://www.nike.com/t/villanova-mens-basketballreplica-jersey-DY4VBazQ/P32818VILL25-WHT","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8955e383-8ce0-44ba-980a-2c198f000649/NCAA+M+BSKTBL+Rep+JSY.png","https://www.nike.com/t/villanova-mens-basketballreplica-jersey-DY4VBazQ/P32818VILL25-WHT","https://www.nike.com/t/villanova-mens-basketballreplica-jersey-DY4VBazQ/P32818VILL25-NVY","Men's Basketball Nike College Replica Jersey","2 Colors","$75.97","$110","31% off",""
"Nike College (Tennessee State University)","https://www.nike.com/t/tennessee-state-university-mens-club-fleece-crew-neck-sweatshirt-S0mnkaoi/M33778TESU25-RYL","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d4e2503c-cb36-4d40-8089-5dbb88407f90/HBCU+M+CLUB+FLC+PO+CREW.png","","","Men’s Club Fleece Crew-Neck Sweatshirt","","$51.97","$75","30% off",""
"Nike College (Delaware State University)","https://www.nike.com/t/delaware-state-university-mens-tri-blend-short-sleeve-t-shirt-ioosikob/M21372DESU25-RED","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b925eaec-c51f-4972-930c-c7c0f5928cb0/HBCU+M+TRI-BLEND+SST.png","","","Men's Tri-Blend Short-Sleeve T-Shirt","","$29.97","$42","28% off",""
"Winston-Salem Club Fleece","https://www.nike.com/t/winston-salem-club-fleece-menshoodie-N3PzD9/M31777P738H-TXS","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/2f77a59b-78ca-4219-87f5-aa3262fdbbe1/TXS+M+NK+COL+CLUB+FLC+HBCU+365.png","https://www.nike.com/t/winston-salem-club-fleece-menshoodie-N3PzD9/M31777P738H-TXS","https://www.nike.com/t/prairie-view-am-club-fleece-menshoodie-N3PzD9/M31777P738H-NCA","Men's Nike College Hoodie","2 Colors","$51.97","$65","20% off",""
"Arkansas","https://www.nike.com/t/arkansas-mens-basketballreplica-jersey-fMf8qWIr/P32818ARKS25-WHT","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4b087880-44a1-4cef-8f27-e17d5e1ad87c/NCAA+M+BSKTBL+Rep+JSY.png","","","Men's Basketball Nike College Replica Jersey","","$75.97","$110","31% off",""
"New York Knicks Icon Edition","https://www.nike.com/t/new-york-knicks-icon-edition-mens-nba-swingman-shorts-wv4ZXn/AH3877-495","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/g8l5vo6cgmfwhelcv2po/NYK+MNK+DF+SWGMN+SHORT+ICN+18.png","","","Men's Nike NBA Swingman Shorts","","$58.97","$85","30% off","Recycled Materials"
"Nike Alpha Huarache NXT","https://www.nike.com/t/alpha-huarache-nxt-mens-baseball-cleats-LmfTzd/DJ6517-108","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d354adcf-4bf8-4da3-b274-e5b5c12af5bb/ALPHA+HUARACHE+NXT.png","","","Men's Baseball Cleats","","$144.97","$170","14% off",""
"Oregon State","https://www.nike.com/t/oregon-state-mensbasketball-jersey-ttvVfV/P32818J481-ORS","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f2bf7801-c7f9-436d-a803-47724d42f1f2/ORS+REPLICA+BASKETBALL+JERSEY.png","","","Men's Nike College Basketball Jersey","","$75.97","$110","31% off",""
"Miami Heat Club","https://www.nike.com/t/miami-heat-club-mens-nba-practice-pullover-hoodie-ZW5L0Z/HM7193-010","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d6332624-f1d5-4edc-8ce5-3a7bb1309a2f/MIA+MNK+CLUB+PRC+FLC+PO+HDY.png","","","Men's Nike NBA Practice Pullover Hoodie","","$58.97","$85","30% off",""
"New York Liberty Club","https://www.nike.com/t/new-york-liberty-club-mens-wnba-fleece-pullover-hoodie-PXuRfLVE/M31777WNYL-BLK","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/229d342c-d4c4-4419-9292-6ee7b55dd567/CLUB+FLEECE+PO+HOODIE.png","","","Men's Nike WNBA Fleece Pullover Hoodie","","$55.97","$80","30% off",""
